Language Name,percent
JavaScript,47.13208591451527%
TypeScript,46.363825163477%
CSS,6.048584710951426%
Shell,0.16253651789473467%
Dockerfile,0.1421808030664467%
EJS,0.1109515291779847%
HTML,0.03798015652771701%
Less,0.0018552043894135852%
JavaScript,97.67871318238994%
TypeScript,0.7579405204638815%
HTML,0.6095987801873392%
Vue,0.45305569974346893%
CSS,0.3861806051290498%
Shell,0.114511212086315%
TypeScript,93.43328420813967%
JavaScript,5.675376941389866%
CSS,0.81694252352341%
Shell,0.07439632694705815%
Python,96.76794721617938%
Shell,3.232052783820612%
JavaScript,95.58231292494882%
HTML,1.934411018150176%
CSS,1.020112963554106%
C++,0.7200357367210583%
TypeScript,0.3393492423753341%
CoffeeScript,0.2736194341674991%
C,0.0849674042270999%
Shell,0.037906032392989446%
Python,0.0042117813769988275%
Makefile,0.003073462085918064%
Python,97.96574791698745%
Shell,2.034252083012541%
C++,62.35669678322855%
Python,23.538412913501823%
MLIR,4.343523294501741%
Starlark,3.584586925504027%
HTML,2.5224711876256722%
Go,1.1015275756619365%
C,0.5927686159116208%
Java,0.567216021959751%
Jupyter Notebook,0.4103598894526558%
Shell,0.33724913532049094%
Dockerfile,0.18341954862355223%
Objective-C++,0.1483863254879557%
CMake,0.08904062249378472%
Objective-C,0.08515342458502616%
Smarty,0.04826110679741466%
Swift,0.030707356396093236%
Batchfile,0.02556228234322378%
C#,0.0072641405395466215%
SourcePawn,0.004539549593252534%
Ruby,0.0042273680940722565%
Perl,0.0040562065134872064%
LLVM,0.0035179625493832784%
Pawn,0.0028548459856072377%
Roff,0.0027095201152991773%
Cython,0.002432862717749758%
JavaScript,0.0015377630054449246%
Makefile,0.0014855533409268433%
JavaScript,41.398837288817475%
HTML,31.633191426065714%
SCSS,15.366515575108778%
CSS,11.549544504125693%
PowerShell,0.05191120588233827%
Shell,98.32614554617709%
Python,1.2923807087844943%
Roff,0.30112920491469386%
Makefile,0.08034454012371993%
Dart,99.069234225729%
Objective-C,0.19983469713210056%
Java,0.17239214206518588%
C++,0.13469831154387174%
Shell,0.09968713637116582%
CMake,0.08783804111665487%
Ruby,0.0700391695012025%
HTML,0.04260712640665695%
Batchfile,0.030024295480779038%
Swift,0.029134982618348567%
Kotlin,0.018675570111039857%
PowerShell,0.009797158248051979%
Dockerfile,0.009475491893555852%
C,0.009103368071687783%
CSS,0.008941483697202804%
JavaScript,0.008516800013488963%
JavaScript,99.98982637990623%
Shell,0.01017362009377171%
Python,100.0%
TypeScript,93.62733685484305%
JavaScript,3.2386796916097973%
CSS,1.4068040377239883%
HTML,0.7240420678402285%
Inno Setup,0.7064533792529892%
Shell,0.12262021539181621%
Batchfile,0.04329183040806712%
PowerShell,0.02743313859344091%
SCSS,0.015674748685371262%
Groovy,0.009145931793841103%
Cuda,0.008461383945727742%
C++,0.006391441643099244%
Python,0.005599787669090595%
Makefile,0.0050339879170785305%
Perl,0.0044751733471900725%
Ruby,0.003965255052166853%
TeX,0.0037300872540054603%
Objective-C++,0.0032294825351470496%
Objective-C,0.0032294825351470496%
Clojure,0.002808043213689504%
Handlebars,0.0024774112598388324%
Less,0.002395917468396766%
PHP,0.0023237372531195065%
Julia,0.002188690398729796%
Jupyter Notebook,0.002163078064276575%
Visual Basic .NET,0.002079255878793306%
C,0.001904626325703163%
C#,0.0016508313752121545%
Pug,0.0015227697029460494%
Go,0.0015181129148636456%
F#,0.0014762018221220112%
Java,0.0013947080306799444%
CoffeeScript,0.001373752484309127%
Rust,0.0012387056299194162%
C,98.25838685213569%
Assembly,0.8855137950799141%
Shell,0.32664729652411484%
Makefile,0.2143079381223073%
Python,0.1175901997490027%
Perl,0.11275691491226539%
C++,0.02742556708884218%
Roff,0.01668852067287087%
SmPL,0.014951007521511205%
Yacc,0.011912453406194037%
Lex,0.005963237737586337%
Awk,0.004358322540528019%
UnrealScript,0.001668720316303395%
Python,92.58448060075094%
Makefile,7.415519399249061%
JavaScript,100.0%
Java,100.0%
Python,35.990656574090266%
HTML,32.43874024843769%
Jupyter Notebook,30.438626304219273%
Java,0.9192155137017922%
CSS,0.13221458446704556%
JavaScript,0.08054677508393564%
Python,99.65811008310602%
Shell,0.150586415121747%
Makefile,0.10680312800410562%
ActionScript,0.07365732965800388%
Batchfile,0.010843044110120105%
JavaScript,36.69914757421203%
Java,21.990029199239498%
C++,19.188128251544054%
Objective-C,9.526214939365202%
Objective-C++,6.876836479884305%
Starlark,2.5278735866945015%
Kotlin,0.8636339829160153%
Ruby,0.8506878083805377%
Shell,0.49806120691214584%
Makefile,0.4592167718104912%
CMake,0.31054266698525684%
C,0.1110178802631372%
Assembly,0.08819359721223344%
HTML,0.008707632461533605%
Batchfile,0.0017084221190653169%
C++,56.489138093861676%
TypeScript,24.09311508732016%
Objective-C++,6.6391394924761205%
JavaScript,6.582728710091203%
HTML,3.183246463836493%
Python,2.051600880727493%
Objective-C,0.7361373998825164%
Shell,0.08629784093890985%
Batchfile,0.04572137202744481%
C,0.04225813627299888%
CSS,0.040976073036978033%
PowerShell,0.009290795918177058%
JavaScript,100.0%
Go,89.07454226333599%
HTML,5.292083825183293%
Assembly,5.146759158382346%
C,0.21797488712072458%
Shell,0.10961530490976067%
Perl,0.06332112933723744%
JavaScript,0.04135809518898919%
Python,0.03169993218088003%
Batchfile,0.016558581311143676%
C++,0.0018512824996730984%
Makefile,0.0015100973934083725%
Dockerfile,0.0010215364720115461%
JavaScript,98.32303943414804%
Shell,1.2357519666731316%
CSS,0.14822053072179492%
HTML,0.12056431586689002%
AppleScript,0.08574394733895258%
TypeScript,0.06438057016981949%
SCSS,0.015845042583148554%
Sass,0.0064541924982275175%
JavaScript,100.0%
JavaScript,94.07542523250122%
TypeScript,3.4259514194811556%
HTML,2.498623348017621%
Go,96.68164013001895%
Shell,2.8357353148320796%
PowerShell,0.22794433338372716%
Makefile,0.10110530202969607%
Dockerfile,0.07865280980861827%
Python,0.03787716538024225%
Lua,0.027317172398849714%
C,0.006197186436064627%
sed,0.0020043181143807173%
Batchfile,0.001322977012107082%
JavaScript,61.36259179817437%
C++,21.384323950768298%
Python,12.396204042622387%
C,2.847787535851258%
HTML,0.8638615249907858%
Makefile,0.2800689926054955%
Batchfile,0.21952625239697915%
Shell,0.21881249203298037%
DTrace,0.19674407900090043%
Emacs Lisp,0.07593881561565981%
Perl,0.061637172766647784%
Roff,0.05522390371827382%
R,0.03644936258820294%
JavaScript,75.3537735952924%
TypeScript,22.227131187487213%
Rust,2.0635974653180282%
CSS,0.24811120074670293%
SCSS,0.04972088921208201%
Shell,0.04773029205319263%
Batchfile,0.0050998042256502184%
Dockerfile,0.004606558911943117%
JavaScript,57.00468258232901%
Makefile,17.77846012128656%
Python,15.897750825209181%
Ruby,9.319106471175251%
C++,94.60203262360261%
C#,2.77673288543858%
C,1.3432953021333522%
PowerShell,0.6851399623658372%
Batchfile,0.42304469858706445%
HLSL,0.07655132126283976%
Python,0.04479210594657766%
Roff,0.040259906955758575%
JavaScript,0.005039534698746594%
HTML,0.003111659008622057%
Rust,63.73236128779725%
JavaScript,23.14619825814659%
TypeScript,13.118367746354828%
Dockerfile,0.00307270770134064%
JavaScript,54.10069163947908%
HTML,42.0548052072501%
Roff,3.4765700573885767%
CSS,0.36793309588224804%
TypeScript,84.92896439317018%
JavaScript,9.02581491543177%
Starlark,2.120512270977947%
HTML,2.0570280996599015%
CSS,0.9866198299637517%
SCSS,0.504463929600492%
Shell,0.31054102380292625%
Dockerfile,0.03588103268194853%
PHP,0.027511712286764228%
jq,0.002358037926544871%
TypeScript,99.99103212665625%
Dockerfile,0.005442637375984781%
PowerShell,0.002482621777989543%
JavaScript,0.001001744409192278%
TypeScript,44.24885286146191%
JavaScript,31.30840520969775%
Less,24.119022316684376%
HTML,0.299928329585053%
Shell,0.0237912825709084%
Go,100.0%
JavaScript,64.97630843946409%
TypeScript,34.987791163031034%
HTML,0.035900397504871714%
TypeScript,72.94898476254563%
JavaScript,25.6016756476545%
HTML,1.2335859594534786%
CSS,0.12332944004935512%
Shell,0.09242419029703443%
JavaScript,60.314852840520196%
Shell,12.6694045174538%
Dockerfile,10.205338809034908%
CSS,7.857631759069131%
HTML,7.549623545516769%
TypeScript,1.4031485284052019%
Vue,69.48834993847497%
JavaScript,26.018933830826025%
SCSS,4.075536855475727%
CSS,0.1637359584011432%
Handlebars,0.15659111658000238%
HTML,0.09685230024213075%
Java,99.07232784270155%
HTML,0.5664274219608699%
CSS,0.2999655236886843%
JavaScript,0.03215267277873665%
Gherkin,0.029126538870149675%
CSS,67.769064418183%
HTML,20.64046833701042%
JavaScript,11.463771598331112%
Shell,0.1266956464754582%
Python,90.95588935438134%
Jupyter Notebook,6.569673751423413%
C++,1.6425539408851269%
Shell,0.43589716854248023%
Starlark,0.34937733602054977%
Dockerfile,0.046608448747081574%
C#,53.69736146322901%
C++,44.95890722372953%
C,0.7042187515710039%
PowerShell,0.465383551608086%
HTML,0.0896718389015251%
HLSL,0.05507779994863723%
Batchfile,0.029379371012206244%
TypeScript,89.87313039779802%
JavaScript,8.921310875702169%
Kotlin,0.32309106094897666%
HTML,0.2790602349632966%
Vue,0.21457865496624962%
Svelte,0.16406881855024427%
Handlebars,0.07056391631939318%
CSS,0.05064206111866506%
Shell,0.05009112485758298%
EJS,0.02851646087360861%
Boo,0.019326844038759467%
Marko,0.004892313998408896%
Python,99.87583464139377%
Dockerfile,0.09933228688498766%
Shell,0.024833071721246915%
Java,99.50318538594206%
Python,0.41955580584984686%
C++,0.07725880820808842%
PHP,80.79798331015299%
Blade,17.75807448616906%
Shell,0.880853036624942%
JavaScript,0.5630891670530057%
JavaScript,72.4519594166799%
SCSS,9.39995897439064%
CSS,9.136264265131185%
Less,9.011817343798272%
JavaScript,67.02617047595179%
Python,16.62961136398548%
HTML,9.930551625447695%
CSS,6.413666534615042%
JavaScript,100.0%
Rust,97.80668389790507%
Python,0.4109848058823939%
JavaScript,0.3270074609345476%
Shell,0.31073697690320207%
Makefile,0.3080881222226832%
C++,0.26547635224399596%
CSS,0.15432569750197359%
Dockerfile,0.13506029577416928%
HTML,0.12722969965816705%
C,0.059467615919973744%
Roff,0.023348209011606107%
Assembly,0.0220394281374929%
RenderScript,0.021047258107750252%
Pascal,0.013752323362165659%
Fluent,0.006363509819703746%
XSLT,0.00448961540360354%
RPC,0.0015885765040220805%
CMake,0.0011780868627741966%
Shell,100.0%
C,73.75537907969851%
Java,21.36320157183113%
Roff,1.4940386518163722%
Meson,1.3118961388137471%
Shell,1.1490254787997867%
Makefile,0.7073005069437427%
AIDL,0.18308260339231616%
VBScript,0.024912395326810673%
Batchfile,0.011163573377580255%
Python,97.13022806854775%
HTML,1.4417613854554459%
JavaScript,0.884305548813944%
CSS,0.5352689370502791%
Shell,0.004970701126917545%
Smarty,0.002408547394007018%
C++,67.4428250641034%
Python,18.847586608163382%
C,8.478860006415355%
M4,1.6515562701867696%
Shell,1.426935818290902%
Makefile,0.9760346974299356%
Sage,0.393589044116879%
CMake,0.2015226819201877%
Assembly,0.19492331906999344%
Scheme,0.16965343176206932%
HTML,0.151031330302192%
Objective-C++,0.03802588845651763%
Dockerfile,0.01190513990061249%
Cap'n Proto,0.008688469328976925%
Java,0.0037424059768921304%
QMake,0.0030298961513470484%
Clojure,45.800576890447374%
Shell,22.540203231340612%
Python,19.39746997718832%
HTML,7.735233678336444%
CSS,2.579039647078785%
PureBasic,1.12361668834719%
Dockerfile,0.5919725505721773%
Makefile,0.23188733668910128%
Go,96.76883785260013%
Shell,1.9055434224324725%
PowerShell,0.8624378231033527%
Dockerfile,0.21832118734828238%
Makefile,0.11181337456022789%
Python,0.07694672315642982%
C,0.05160864632932297%
HCL,0.0036227876343325363%
Java,97.2732661529342%
JavaScript,2.7267338470657974%
JavaScript,99.59677817838445%
TypeScript,0.19020582202051384%
WebAssembly,0.12822909727562581%
CSS,0.06504228353474256%
CoffeeScript,0.00655464872830739%
HTML,0.005142878232979645%
Less,0.003993293686784195%
Pug,0.002621859491322956%
Shell,0.0014319386452609992%
C++,85.55169912556642%
C,3.783623970421364%
Python,2.7269125419542104%
CMake,2.435381465568161%
Java,1.901429728069864%
Objective-C++,0.9606469764257726%
Cuda,0.8166018746149895%
Swift,0.7406988248031863%
JavaScript,0.5738201797437269%
Objective-C,0.2473965413555329%
HTML,0.09830679096641468%
Shell,0.05584480008480118%
Perl,0.03896462984191093%
PowerShell,0.03583567059712086%
Kotlin,0.012781086271497287%
TeX,0.00866972224027391%
AIDL,0.004877639764641355%
Batchfile,0.0036791059251927243%
Prolog,0.002070418087408189%
Python,99.55749337365715%
Cuda,0.2080298704791629%
Shell,0.12195531333630463%
Dockerfile,0.04483792609950262%
C++,0.027208004473136944%
C,0.02411946332932237%
Makefile,0.01260252975154429%
Jsonnet,0.0037535188738706295%
Java,97.10962306836804%
Kotlin,2.029764767514951%
HTML,0.2750542990498278%
Shell,0.21592981779547551%
JavaScript,0.15814233412661857%
Groovy,0.13656677097758627%
Ruby,0.03711580621142715%
Smarty,0.013567700849991508%
Dockerfile,0.010870166989115334%
Batchfile,0.010065143795031867%
Mustache,0.0021137743517162344%
JavaScript,95.8735989891663%
HTML,2.413599457144863%
CSS,1.656644125699043%
Shell,0.056157427989798066%
JavaScript,98.17233809475638%
HTML,1.2161212256406133%
Shell,0.45504575098976563%
PHP,0.1040705685492459%
CSS,0.052424360063992884%
JavaScript,58.01090641976436%
HTML,25.371743740636372%
SCSS,16.22578944965741%
CSS,0.3915603899418574%
C++,49.7576223115128%
Swift,40.608117752639146%
C,5.716604650314729%
Python,2.0807733720954946%
CMake,0.7280415403214652%
Objective-C,0.48917435187818453%
Shell,0.22541346297191572%
Objective-C++,0.16985394894341502%
LLVM,0.07928198402228882%
Emacs Lisp,0.06126779985749923%
Batchfile,0.04879595061054085%
Vim script,0.02130235253926489%
Roff,0.003917930806597383%
DTrace,0.00275840200421043%
Makefile,0.0025116032132436656%
Ruby,0.002267995785953196%
D,0.0011776131965526208%
sed,0.001116977286703028%
Java,99.68306691758228%
Groovy,0.17801277456831907%
Shell,0.049391466599207304%
ANTLR,0.027938982282589515%
Batchfile,0.021859151187478557%
Python,0.017192971595836003%
Dockerfile,0.010423259201943378%
CSS,0.004376510134025458%
Emacs Lisp,0.00269578177687667%
PowerShell,0.002170503735348172%
HTML,0.0017638368644873992%
JavaScript,0.0010247359642721852%
C,71.40841867514234%
Python,7.488780555634683%
JavaScript,7.107490847009508%
Jupyter Notebook,3.990641088345248%
Shell,3.956728069637564%
CSS,1.9033198933362174%
HTML,1.8965652929415635%
C++,0.6975054328907034%
Makefile,0.6701442317209361%
M4,0.5115873504053967%
CMake,0.26046009498928385%
Dockerfile,0.0661651492554248%
POV-Ray SDL,0.0331211999337576%
Jolie,0.005504106111440767%
PHP,0.003568012645925199%
Python,99.90660211148698%
HTML,0.07815319183424577%
Shell,0.011771221486145657%
CSS,0.0034734751926331453%
Go,98.95557528342567%
HTML,0.6753419544024245%
Python,0.28688668775406423%
Shell,0.05720371604842943%
Dockerfile,0.02499235836940168%
TypeScript,76.11564121571534%
JavaScript,19.3419627074186%
CSS,4.542396076866054%
Java,99.90146025643045%
Shell,0.08513247734410115%
Dockerfile,0.013407266225447944%
TypeScript,58.183779512734134%
Svelte,41.07013609924952%
JavaScript,0.7460843880163522%
JavaScript,88.27341610095935%
Less,8.714380565643475%
CoffeeScript,2.7904080322295868%
Shell,0.15197990066790654%
Batchfile,0.04750104635172033%
Dockerfile,0.013326085401840092%
HTML,0.006565344127592774%
EJS,0.002422924618516381%
Go,99.58502965799678%
Makefile,0.4149703420032134%
Java,100.0%
Shell,97.7422263287706%
Makefile,1.3315648681475079%
Dockerfile,0.9167703652923804%
JavaScript,0.00943843778951787%
JavaScript,98.28748216127251%
TypeScript,1.4407201357065418%
Shell,0.1963161475239726%
HTML,0.07548155549697232%
JavaScript,99.9188868911409%
Makefile,0.041067342268715265%
Shell,0.04004576659038901%
JavaScript,93.57942490630745%
HTML,5.546863390546019%
PHP,0.6983469499058991%
CSS,0.17536475324063017%
TypeScript,99.95875873862093%
JavaScript,0.04124126137906754%
